HSS 275,"History of Physical Education & Sport","Study of the historical development of physical education, sport, and associated disciplines as they relate to significant people and events in the history of Western civilization.",HST 103
THR 425,"Theatre Theory & History","Seminar course that examines theatre and performance with texts that hybridize conventional theatre history and performance studies with emphases on international performance history and cultural studies/theories. This course considers historical, theoretical and play texts, in order to further the student's understanding of the application of theory to the practice and history of theatre. Plays are critically examined as primary sources informing theatrical historiography.",THR 105,HST 103
HST 477,"Honors Thesis Project","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons."
HST 478,"Honors Thesis Project","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons."
HST 486,"Seminar in European History","Reading seminar concentrating on one historical topic in European history for detailed analysis. May be repeated as topics change.",HST 103,ASI 110,HST 301
HST 485,"Seminar in American History","Reading seminar concentrating on one historical topic in American history for detailed analysis. May be repeated as topics change.",HST 103,ASI 110,HST 301
HST 488,"Seminar in African History","Reading seminar concentrating on one historical topic in African history for detailed analysis. May be repeated as topics change.",HST 103,ASI 110,HST 301
HST 487,"Seminar in Latin American History","A reading seminar concentrating on one historical topic in Latin American history for detailed analysis. May be repeated as topics change. Prerequisite(s):HST 103 or ASI 110 or equivalent; HST 301 or permission of department chairperson.",HST 103,ASI 110,HST 301
HST 491,"Seminar in Ancient History","Reading seminar concentrating on one historical topic in ancient history for detailed analysis. May be repeated as topics change."
HST 490,"Seminar in Histography","Reading seminar concentrating on the various techniques and philosophies of history by which historians have done historical research. May be repeated as topics change.",HST 103,ASI 110,HST 301
HST 493,"Seminar in Middle Eastern History","Reading seminar concentrating on one historical topic in Middle Eastern history for detailed analysis. May be repeated as topics change.",HST 103,ASI 110,HST 301
HST 492,"Seminar in Asian History","Reading seminar concentrating on one historical topic in Asian history for detailed analysis. May be repeated as topics change."
HST 495,"Internship","Practical and professional experience through work with approved organizations such as historical societies, architectural preservation boards, and business firms.",HST 103,ASI 110
HST 497,"Honors Tutorial","The study of a special topic to be selected by the instructor. Applicants will be admitted on the basis of academic record. May be repeated once.",HST 103,ASI 110
HST 496,"Independent Study","The study of a special topic to be mutually selected by the student and a history professor.",HST 103,ASI 110
HST 499,"Topics in History","Specific subtitles and descriptions to be announced in the composite and posted in the History department office.",HST 103,ASI 110
HST 498,"History Capstone Seminar","Capstone seminar course required for all senior history majors as the culmination of the Common Academic Program. Explores the perspective and practices of the professional historian. Students will demonstrate the ability to work critically with primary sources resulting in a scholarly project suited to their own professional goals. History majors only.",HST 103,ASI 110,HST 150,HST 301
